# time,theta_1,theta_2,omega_1,omega_2
1.233233233233233150e+01,-1.968287199007031063e+01,1.070562148964286706e+02,-5.648488409165176449e+01,-2.690873892538194667e+01
1.237237237237237153e+01,-2.190732226154916873e+01,1.059027435183360808e+02,-5.426494723939389075e+01,-3.061238873308036190e+01
1.241241241241241156e+01,-2.403414745511053496e+01,1.046032127171705639e+02,-5.148854056087792941e+01,-3.416298192784670107e+01
1.245245245245245158e+01,-2.603873842725370125e+01,1.031645703929332853e+02,-4.815355360905895310e+01,-3.755396858796751758e+01
1.249249249249249161e+01,-2.789497164040545130e+01,1.015944891808339605e+02,-4.426498952177577451e+01,-4.078119065793526943e+01
1.253253253253253163e+01,-2.958147128511863855e+01,9.989838934502820678e+01,-3.982416971401268313e+01,-4.384159428327125596e+01
1.257257257257257166e+01,-3.108192668144055304e+01,9.808143079190369917e+01,-3.485232332804840638e+01,-4.674315465878996889e+01
1.261261261261261168e+01,-3.237546101353818528e+01,9.615145615053685901e+01,-2.939278017077351279e+01,-4.950448600119983666e+01
1.265265265265265171e+01,-3.344242566918934045e+01,9.411465330974051824e+01,-2.348472328963057976e+01,-5.214832526556864423e+01
1.269269269269269174e+01,-3.426442442935248067e+01,9.197554128300362208e+01,-1.716311944801240585e+01,-5.470151731580185128e+01
1.273273273273273176e+01,-3.482431346816677120e+01,8.973697020849121486e+01,-1.045871912526205172e+01,-5.719501492464259940e+01
1.277277277277277179e+01,-3.510620135295201294e+01,8.740012134904439733e+01,-3.398056516672777416e+00,-5.966387877367169068e+01
1.281281281281281181e+01,-3.509544904420867084e+01,8.496450709218035513e+01,3.996550466511912258e+00,-6.214727745330760911e+01
1.285285285285285362e+01,-3.477866989561787392e+01,8.242797095009225927e+01,1.170700019709857820e+01,-6.468848746280664841e+01
1.289289289289289364e+01,-3.414372965404145077e+01,7.978668755964969250e+01,1.971940733194254491e+01,-6.733489321026243601e+01
1.293293293293293367e+01,-3.317974645952187984e+01,7.703516268239802400e+01,2.802410281194990560e+01,-7.013798701260658675e+01
1.297297297297297369e+01,-3.187709084528229297e+01,7.416623320455876467e+01,3.661563386207619430e+01,-7.315336909560828360e+01
1.301301301301301372e+01,-3.022738573772649673e+01,7.117106713702953869e+01,4.549276399132669013e+01,-7.644074759387441986e+01
1.305305305305305374e+01,-2.822237202067761075e+01,6.803893635807158091e+01,5.466418945534204710e+01,-8.006544600754709506e+01
1.309309309309309377e+01,-2.584452774142066289e+01,6.475402236723279259e+01,6.422343155137204462e+01,-8.412470176521830467e+01
1.313313313313313380e+01,-2.307328636417699741e+01,6.129549533531170624e+01,7.430982447854647432e+01,-8.873540964031207068e+01
1.317317317317317382e+01,-1.988480235617501535e+01,5.763902242067204895e+01,8.504842197234886214e+01,-9.400361488750434091e+01
1.321321321321321385e+01,-1.625117843340490609e+01,5.375674732695459568e+01,9.654974067451200881e+01,-1.000234553538282114e+02
1.325325325325325387e+01,-1.214046556061868642e+01,4.961729030307712662e+01,1.089097601330180822e+02,-1.068771614786738979e+02
1.329329329329329390e+01,-7.516983534456948668e+00,4.518592856976674454e+01,1.222177391874753738e+02,-1.146401678120433871e+02
1.333333333333333393e+01,-2.344338603826847667e+00,4.042643875281116550e+01,1.363941396616792474e+02,-1.232973942909737701e+02
1.337337337337337395e+01,3.397808761975470215e+00,3.531146931243491593e+01,1.500395863745208374e+02,-1.320482730239587283e+02
1.341341341341341398e+01,9.645005723318423208e+00,2.986182652374363755e+01,1.610901769074425260e+02,-1.397126456169209234e+02
1.345345345345345400e+01,1.623570486679162173e+01,2.415342559350705187e+01,1.670688686144048916e+02,-1.448883101462369893e+02
