# time,theta,x,omega,v
1.261261261261261168e+01,-1.476579163988504417e+00,3.743408783120244721e+01,-8.245511707577374949e+00,5.986806340831989814e+00
1.265265265265265171e+01,-1.804683105278411803e+00,3.766738405697652325e+01,-8.140924424530796344e+00,5.662639640337499003e+00
1.269269269269269174e+01,-2.128628504403632604e+00,3.788751840765186074e+01,-8.040192136425591940e+00,5.333158216417809960e+00
1.273273273273273176e+01,-2.448565167495988515e+00,3.809428542004987861e+01,-7.943196300729328030e+00,4.998632192408821950e+00
1.277277277277277179e+01,-2.764639482601911169e+00,3.828749254872555952e+01,-7.849816709326702835e+00,4.659335866502861911e+00
1.281281281281281181e+01,-3.076994419682443027e+00,3.846696016596745693e+01,-7.759931488519530518e+00,4.315547711748684456e+00
1.285285285285285362e+01,-3.385769530613254474e+00,3.863252156179768804e+01,-7.673417099026748289e+00,3.967550376051463878e+00
1.289289289289289364e+01,-3.691100949184580315e+00,3.878402294397193373e+01,-7.590148335984425287e+00,3.615630682172837673e+00
1.293293293293293367e+01,-3.993121391101313478e+00,3.892132343797944571e+01,-7.509998328945738599e+00,3.260079627730832819e+00
1.297297297297297369e+01,-4.291960153982942394e+00,3.904429508704306073e+01,-7.432838541880998129e+00,2.901192385199921731e+00
1.301301301301301372e+01,-4.587743117363567436e+00,3.915282285211915791e+01,-7.358538773177632386e+00,2.539268301910995618e+00
1.305305305305305374e+01,-4.880592742691894692e+00,3.924680461189769431e+01,-7.286967155640192040e+00,2.174610900051385798e+00
1.309309309309309377e+01,-5.170628073331249297e+00,3.932615116280220491e+01,-7.217990156490349918e+00,1.807527876664845046e+00
1.313313313313313380e+01,-5.457964734559562991e+00,3.939078621898977417e+01,-7.151472577366901895e+00,1.438331103651554699e+00
1.317317317317317382e+01,-5.742714933569381230e+00,3.944064641235107871e+01,-7.087277554325768669e+00,1.067336627768126434e+00
1.321321321321321385e+01,-6.024987459467858741e+00,3.947568129251033753e+01,-7.025266557839989545e+00,6.948646706275969365e-01
1.325325325325325387e+01,-6.304887683276761301e+00,3.949585332682535466e+01,-6.965299392799730427e+00,3.212396286994358974e-01
1.329329329329329390e+01,-6.582517557932467511e+00,3.950113790038749784e+01,-6.907234198512276713e+00,-5.320992669046198387e-02
1.333333333333333393e+01,-6.857941688103724509e+00,3.949152822755197434e+01,-6.850977748043265869e+00,-4.282063100577052639e-01
1.337337337337337395e+01,-7.131148683639136010e+00,3.946702044166677581e+01,-6.796610129503314113e+00,-8.035825937331445568e-01
1.341341341341341398e+01,-7.402216855099307935e+00,3.942758825569437420e+01,-6.744143613499938184e+00,-1.179019709965308804e+00
1.345345345345345400e+01,-7.671229365025930669e+00,3.937321671815401913e+01,-6.693577892475103042e+00,-1.554191127062484190e+00
1.349349349349349403e+01,-7.938267259568094758e+00,3.930390393476211131e+01,-6.644908068400614987e+00,-1.928774340526253184e+00
1.353353353353353405e+01,-8.203409468482295352e+00,3.921966106843221667e+01,-6.598124652778118104e+00,-2.302450873051498537e+00
1.357357357357357408e+01,-8.466732805132433981e+00,3.912051233927509486e+01,-6.553213566639096932e+00,-2.674906274526399397e+00
1.361361361361361411e+01,-8.728311966489810558e+00,3.900649502459866369e+01,-6.510156140544874681e+00,-3.045830122032432641e+00
1.365365365365365413e+01,-8.988219533133133154e+00,3.887765945890801333e+01,-6.468929114586615015e+00,-3.414916019844372652e+00
