# time,x1,x2,y1,y2,z1,z2,vx1,vx2,vy1,vy2,vz1,vz2
2.086208620862086249e+00,-4.111075878984364884e-01,4.145338143298887834e-01,6.496998699935378763e-02,4.808276494236189691e-02,-3.934044404375060533e-01,-5.622766610074245719e-01,4.100810880344266107e-01,-4.900991075976331435e-01,4.654782575513223553e-02,4.219324077060663397e-03,-3.452174244867804720e-02,-4.578067592293935117e-01
2.088208820882088368e+00,-4.102841256588298235e-01,4.135495849261473511e-01,6.506298718315822738e-02,4.809133249671215110e-02,-3.934745386094626873e-01,-5.631910854739230476e-01,4.125698017527723582e-01,-4.931408688089447545e-01,4.649660896044195690e-02,4.281922381682116974e-03,-3.503391039558084730e-02,-4.571807761831789829e-01
2.090209020902090042e+00,-4.094557039566871781e-01,4.125592939570841278e-01,6.515588631699482935e-02,4.810002355657862910e-02,-3.935456472810974771e-01,-5.641042748852591604e-01,4.150672489490948025e-01,-4.961933042711166308e-01,4.644484445488289426e-02,4.345190110698747554e-03,-3.555155545117145988e-02,-4.565480988930126771e-01
2.092209220922092161e+00,-4.086223079661381874e-01,4.115629233021909639e-01,6.524868350680559925e-02,4.810883921469893271e-02,-3.936177753929908651e-01,-5.650162183140571281e-01,4.175735114547201032e-01,-4.992565140002140911e-01,4.639252725845580128e-02,4.409133350776308150e-03,-3.607472741544243133e-02,-4.559086664922370469e-01
2.094209420942094280e+00,-4.077839227766064667e-01,4.105604547374299695e-01,6.534137785471448578e-02,4.811778056847708374e-02,-3.936909319239030314e-01,-5.659269047862767188e-01,4.200886715440530494e-01,-5.023305985538433216e-01,4.633965235603180327e-02,4.473758231516742831e-03,-3.660347643968235587e-02,-4.552624176848327209e-01
2.096209620962096398e+00,-4.069405333928087787e-01,4.095518699352327929e-01,6.543396845902753334e-02,4.812684871998350322e-02,-3.937651258907737262e-01,-5.668363232812136943e-01,4.226128119345800571e-01,-5.054156590311541519e-01,4.628621469735239718e-02,4.539070925458240507e-03,-3.713785302647641673e-02,-4.546092907454177268e-01
2.098209820982098073e+00,-4.060921247347554219e-01,4.085371504645008978e-01,6.552645441423272932e-02,4.813604477595502529e-02,-3.938403663487224926e-01,-5.677444627314992553e-01,4.251460157868673928e-01,-5.085117970728385561e-01,4.623220919702942383e-02,4.605077648075210639e-03,-3.767790802970617803e-02,-4.539492235192479908e-01
2.100210021002100191e+00,-4.052386816377494538e-01,4.075162777906047307e-01,6.561883481100021231e-02,4.814536984779489714e-02,-3.939166623910487219e-01,-5.686513120231015961e-01,4.276883667045636161e-01,-5.116191148611342054e-01,4.617763073454504014e-02,4.671784657778349156e-03,-3.822369265455004272e-02,-4.532821534222166160e-01
2.102210221022102310e+00,-4.043801888523879118e-01,4.064892332753851090e-01,6.571110873618205006e-02,4.815482505157277215e-02,-3.939940231492313760e-01,-5.695568599953237943e-01,4.302399487343964157e-01,-5.147377151198184730e-01,4.612247415425180241e-02,4.739198255914527438e-03,-3.877525845748240607e-02,-4.526080174408548262e-01
2.104210421042104429e+00,-4.035166310445609805e-01,4.054559981771522215e-01,6.580327527281239208e-02,4.816441150802471677e-02,-3.940724577929290984e-01,-5.704610954408054768e-01,4.328008463661744409e-01,-5.178677011142139852e-01,4.606673426537260391e-02,4.807324786766880784e-03,-3.933265734627439114e-02,-4.519267521323312997e-01
2.106210621062106103e+00,-4.026479927954523808e-01,4.044165536506861836e-01,6.589533350010734480e-02,4.817413034255321053e-02,-3.941519755299803807e-01,-5.713640071055213765e-01,4.353711445327868024e-01,-5.210091766511846245e-01,4.601040584200070255e-02,4.876170637554756368e-03,-3.989594157999337698e-02,-4.512382936244525022e-01
2.108210821082108222e+00,-4.017742586015387030e-01,4.033708807472361491e-01,6.598728249346515196e-02,4.818398268522713218e-02,-3.942325856064033962e-01,-5.722655836887832193e-01,4.379509286102044596e-01,-5.241622460791395266e-01,4.595348362309967932e-02,4.945742238433780899e-03,-4.046516376900358147e-02,-4.505425776156622986e-01
2.110211021102110340e+00,-4.008954128745902956e-01,4.023189604145214204e-01,6.607912132446600029e-02,4.819396967078178051e-02,-3.943142973063959444e-01,-5.731658138432378369e-01,4.405402844174776678e-01,-5.273270142880288613e-01,4.589596231250350766e-02,5.016046062495773880e-03,-4.104037687496535358e-02,-4.498395393750423410e-01
2.112211221122112015e+00,-4.000114399416709876e-01,4.012607734967311157e-01,6.617084906087211671e-02,4.820409243861885351e-02,-3.943971199523356175e-01,-5.740646861748679441e-01,4.431392982167371430e-01,-5.305035867093460533e-01,4.583783657891649793e-02,5.087088625768787509e-03,-4.162163421083545090e-02,-4.491291137423122359e-01
2.114211421142114133e+00,-3.991223240451373111e-01,4.001963007345233914e-01,6.626246476662780993e-02,4.821435213280646920e-02,-3.944810629047798001e-01,-5.749621892429928049e-01,4.457480567131959504e-01,-5.336920693161291140e-01,4.577910105591329049e-02,5.158876487217151779e-03,-4.220898944086752536e-02,-4.484112351278285447e-01
2.116211621162116252e+00,-3.982280493426398338e-01,3.991255227650264970e-01,6.635396750185935943e-02,4.822474990207915174e-02,-3.945661355624653921e-01,-5.758583115602670111e-01,4.483666470551462835e-01,-5.368925686229573113e-01,4.571975034193891119e-02,5.231416248741389483e-03,-4.280249658061129059e-02,-4.476858375125861711e-01
2.118211821182118371e+00,-3.973285870875807868e-01,3.980484044535101962e-01,6.644535532678735867e-02,4.823528811727836180e-02,-3.946523573231860982e-01,-5.767530294182761086e-01,4.509952317744517769e-01,-5.401052832798862724e-01,4.565977221069589947e-02,5.304722853593985855e-03,-4.340227789304152567e-02,-4.469527714640604277e-01
2.120212021202120045e+00,-3.964238458739834936e-01,3.969648340815579712e-01,6.653662145408467676e-02,4.824597507402619140e-02,-3.947397960602138101e-01,-5.776462598607986498e-01,4.536343357802699039e-01,-5.433308548425528350e-01,4.559912195978743643e-02,5.378850938037658957e-03,-4.400878040212612141e-02,-4.462114906196237296e-01
2.122212221222122164e+00,-3.955137960935005692e-01,3.958747754611899872e-01,6.662776392753876065e-02,4.825681316324910430e-02,-3.948284713356740028e-01,-5.785379789785705107e-01,4.562841174395192989e-01,-5.465694768705242623e-01,4.553778862152574325e-02,5.453813907024171979e-03,-4.462211378474304629e-02,-4.454618609297585907e-01
2.124212421242124282e+00,-3.945984198152113764e-01,3.947782066768365516e-01,6.671878170004470754e-02,4.826780366474195394e-02,-3.949183936206155376e-01,-5.794281739736431014e-01,4.589446677058162116e-01,-5.498212605293316679e-01,4.547576734629389661e-02,5.529617687863102975e-03,-4.524232653706156820e-02,-4.447038231213692461e-01
2.126212621262126401e+00,-3.936776986616998819e-01,3.936751052672113893e-01,6.680967368953572016e-02,4.827894790103085670e-02,-3.950095737357065540e-01,-5.803168316207550914e-01,4.616160814354308695e-01,-5.530863217544161881e-01,4.541305290306957287e-02,5.606268674026164932e-03,-4.586947096930479861e-02,-4.439373132597386751e-01
2.128212821282128075e+00,-3.927516138090550446e-01,3.925654482253121969e-01,6.690043877898300961e-02,4.829024723737314340e-02,-3.951020228512344135e-01,-5.812039382673330756e-01,4.642984573872859788e-01,-5.563647812511279822e-01,4.534963967942511054e-02,5.683773725147172814e-03,-4.650360320574941503e-02,-4.431622627485285459e-01
