# time, position, velocity
2.971887550200803307e+00,-9.856346153550181732e-01,-1.688916961071960654e-01
3.012048192771084487e+00,-9.916208442614917740e-01,-1.291824338914791259e-01
3.052208835341365223e+00,-9.960079254587268505e-01,-8.926484427479394745e-02
3.092369477911646403e+00,-9.987887840744199552e-01,-4.920330077486387982e-02
3.132530120481927582e+00,-9.999589355278859504e-01,-9.062409058146687554e-03
3.172690763052208762e+00,-9.995164927621644768e-01,3.109309724716994780e-02
3.212851405622489942e+00,-9.974621692872017720e-01,7.119846094452943197e-02
3.253012048192771122e+00,-9.937992780292013162e-01,1.111890057003755011e-01
3.293172690763052302e+00,-9.885337259879993788e-01,1.510002403451168873e-01
3.333333333333333481e+00,-9.816740047110790179e-01,1.905679628754853860e-01
3.373493975903614661e+00,-9.732311765995885766e-01,2.298283639905668307e-01
3.413654618473895397e+00,-9.632188570684440121e-01,2.687181299945361479e-01
3.453815261044176577e+00,-9.516531925892880439e-01,3.071745449001517803e-01
3.493975903614457756e+00,-9.385528346517145737e-01,3.451355915683446685e-01
3.534136546184738936e+00,-9.239389096847486771e-01,3.825400517208071838e-01
3.574297188755020116e+00,-9.078349849870903654e-01,4.193276046642880894e-01
3.614457831325301296e+00,-8.902670307210642786e-01,4.554389245673888253e-01
3.654618473895582476e+00,-8.712633780315662824e-01,4.908157761329846602e-01
3.694779116465863211e+00,-8.508546733575469423e-01,5.254011085119844049e-01
3.734939759036144391e+00,-8.290738290097110497e-01,5.591391473069796669e-01
3.775100401606425571e+00,-8.059559700941369975e-01,5.919754845174067803e-01
3.815261044176706751e+00,-7.815383778674072079e-01,6.238571662811783769e-01
3.855421686746987930e+00,-7.558604296146003154e-01,6.547327782712820676e-01
3.895582329317269110e+00,-7.289635351471015490e-01,6.845525286096315609e-01
3.935742971887550290e+00,-7.008910700226375079e-01,7.132683281644588424e-01
3.975903614457831470e+00,-6.716883055952307391e-01,7.408338681017545557e-01
4.016064257028112650e+00,-6.414023360078771052e-01,7.672046945656930683e-01
4.056224899598393385e+00,-6.100820022456853176e-01,7.923382803676063402e-01
4.096385542168675009e+00,-5.777778133719503328e-01,8.161940935679010689e-01
4.136546184738955745e+00,-5.445418650741888911e-01,8.387336628403107008e-01
4.176706827309237369e+00,-5.104277556514793535e-01,8.599206395130853942e-01
4.216867469879518104e+00,-4.754904995786114474e-01,8.797208561870535348e-01
4.257028112449798840e+00,-4.397864387864135471e-01,8.981023818360377442e-01
4.297188755020080464e+00,-4.033731518013516371e-01,9.150355733007562442e-01
4.337349397590361200e+00,-3.663093608909198662e-01,9.304931230931724473e-01
4.377510040160642824e+00,-3.286548373645573062e-01,9.444501034342027701e-01
4.417670682730923559e+00,-2.904703051828278482e-01,9.568840064537575962e-01
4.457831325301205183e+00,-2.518173430302845794e-01,9.677747804882952387e-01
4.497991967871485919e+00,-2.127582850099679901e-01,9.771048624173442887e-01
4.538152610441766655e+00,-1.733561201196575641e-01,9.848592059868551685e-01
4.578313253012048278e+00,-1.336743906720095354e-01,9.910253060736980979e-01
4.618473895582329014e+00,-9.377708982238550095e-02,9.955932188521797732e-01
4.658634538152610638e+00,-5.372855836961587528e-02,9.985555778300588825e-01
4.698795180722891374e+00,-1.359338099614602197e-02,9.999076057281960361e-01
4.738955823293172998e+00,2.656371788513346016e-02,9.996471221846832123e-01
4.779116465863453733e+00,6.667797850937995374e-02,9.977745472710268793e-01
4.819277108433734469e+00,1.066847101953160293e-01,9.942929008147153302e-01
4.859437751004016093e+00,1.465193956693294497e-01,9.892077975292625780e-01
4.899598393574296828e+00,1.861177951099255434e-01,9.825274379595817509e-01
4.939759036144578452e+00,2.254160497447523226e-01,9.742625952572906423e-01
4.979919678714859188e+00,2.643507848331094756e-01,9.644265978072769085e-01
5.020080321285140812e+00,3.028592118678927747e-01,9.530353077335376177e-01
5.060240963855421548e+00,3.408792298321287051e-01,9.401070953189614166e-01
5.100401606425703172e+00,3.783495253468349140e-01,9.256628093802973245e-01
5.140562248995983907e+00,4.152096715486742196e-01,9.097257436460958191e-01
5.180722891566264643e+00,4.514002255379726547e-01,8.923215991918314050e-01
5.220883534136546267e+00,4.868628242399298256e-01,8.734784429927959781e-01
5.261044176706827002e+00,5.215402785244385164e-01,8.532266626615996330e-01
5.301204819277108626e+00,5.553766654327382257e-01,8.315989174432661946e-01
5.341365461847389362e+00,5.883174183621522335e-01,8.086300855469652493e-01
5.381526104417670986e+00,6.203094150634951287e-01,7.843572078992991914e-01
5.421686746987951722e+00,6.513010633092171098e-01,7.588194284098709330e-01
5.461847389558233345e+00,6.812423840941538300e-01,7.320579308454442380e-01
5.502008032128514081e+00,7.100850922346859662e-01,7.041158724145177850e-01
5.542168674698794817e+00,7.377826742363488011e-01,6.750383141693970801e-01
5.582329317269076441e+00,7.642904633043032803e-01,6.448721483380200903e-01
5.622489959839357176e+00,7.895657113757071910e-01,6.136660227027186387e-01
5.662650602409638800e+00,8.135676580578290462e-01,5.814702621478585742e-01
5.702811244979919536e+00,8.362575963607168372e-01,5.483367875028961613e-01
5.742971887550201160e+00,8.575989351184338805e-01,5.143190318117035753e-01
5.783132530120481896e+00,8.775572579981801846e-01,4.794718541632193021e-01
5.823293172690762631e+00,8.961003790021546678e-01,4.438514512223598052e-01
5.863453815261044255e+00,9.131983943726388331e-01,4.075152666038836524e-01
5.903614457831324991e+00,9.288237308166034101e-01,3.705218982353484236e-01
5.943775100401606615e+00,9.429511899720690593e-01,3.329310038585455711e-01
5.983935742971887350e+00,9.555579890445059510e-01,2.948032048218265921e-01
6.024096385542168974e+00,9.666237975477471878e-01,2.561999883184457594e-01
6.064257028112449710e+00,9.761307700901579176e-01,2.171836082286030256e-01
6.104417670682730446e+00,9.840635751531935371e-01,1.778169847250676561e-01
6.144578313253012070e+00,9.904094198159333340e-01,1.381636028043073949e-01
6.184738955823292805e+00,9.951580703857165755e-01,9.828740990674851574e-02
6.224899598393574429e+00,9.983018689016157632e-01,5.825271279126218588e-02
6.265060240963855165e+00,9.998357454841256819e-01,1.812407383020526661e-02
6.305220883534136789e+00,9.997572265111585033e-01,-2.203379310777069805e-02
6.345381526104417524e+00,9.980664386071560479e-01,-6.215612701920843891e-02
6.385542168674699148e+00,9.947661084388871311e-01,-1.021782242033605070e-01
6.425702811244979884e+00,9.898615583182606148e-01,-1.420355426072808791e-01
6.465863453815260620e+00,9.833606976192429405e-01,-1.816638059102468061e-01
6.506024096385542244e+00,9.752740100227237363e-01,-2.209991071796358619e-01
6.546184738955822979e+00,9.656145366098989324e-01,-2.599780119311057014e-01
6.586345381526104603e+00,9.543978548314339116e-01,-2.985376604268836220e-01
6.626506024096385339e+00,9.416420533863263387e-01,-3.366158690471722226e-01
6.666666666666666963e+00,9.273677030509752672e-01,-3.741512305712199615e-01
6.706827309236947698e+00,9.115978235055057777e-01,-4.110832132063102495e-01
6.746987951807229322e+00,8.943578462108390248e-01,-4.473522582049957452e-01
6.787148594377510058e+00,8.756755733963840216e-01,-4.828998759131277740e-01
6.827309236947790794e+00,8.555811332244791512e-01,-5.176687400938133621e-01
6.867469879518072418e+00,8.341069312038982275e-01,-5.516027803751677450e-01
6.907630522088353153e+00,8.112875979307693219e-01,-5.846472726727821589e-01
6.947791164658634777e+00,7.871599332411791661e-01,-6.167489274410959954e-01
6.987951807228915513e+00,7.617628468655375240e-01,-6.478559756113326795e-01
7.028112449799197137e+00,7.351372956803892134e-01,-6.779182520774345022e-01
7.068273092369477872e+00,7.073262176588843708e-01,-7.068872765953398973e-01
7.108433734939758608e+00,6.783744626264037736e-01,-7.347163319651590641e-01
7.148594377510040232e+00,6.483287199330209916e-01,-7.613605393701530222e-01
7.188755020080320968e+00,6.172374431594366273e-01,-7.867769307510237287e-01
7.228915662650602592e+00,5.851507719778006322e-01,-8.109245180988079449e-01
7.269076305220883327e+00,5.521204512934521080e-01,-8.337643595546134767e-01
7.309236947791164951e+00,5.181997477979518596e-01,-8.552596222096183753e-01
7.349397590361445687e+00,4.834433640680011468e-01,-8.753756415040425676e-01
7.389558232931726423e+00,4.479073503487558949e-01,-8.940799771293151954e-01
7.429718875502008046e+00,4.116490141638151634e-01,-9.113424653432753431e-01
7.469879518072288782e+00,3.747268278976472189e-01,-9.271352676140450777e-01
7.510040160642570406e+00,3.372003344994829455e-01,-9.414329155141309968e-01
7.550200803212851142e+00,2.991300514607629357e-01,-9.542123517923467579e-01
7.590361445783132766e+00,2.605773732209669680e-01,-9.654529675573331193e-01
7.630522088353413501e+00,2.216044721592362876e-01,-9.751366355126989127e-01
7.670682730923695125e+00,1.822741983314306591e-01,-9.832477391901973673e-01
7.710843373493975861e+00,1.426499781143363010e-01,-9.897731981337842821e-01
7.751004016064256597e+00,1.027957119204509634e-01,-9.947024889939541925e-01
7.791164658634538220e+00,6.277567114831900108e-02,-9.980276624983288603e-01
7.831325301204818956e+00,2.265439453459214270e-02,-9.997433562711337540e-01
7.871485943775100580e+00,-1.750341592504437924e-02,-9.998468034808907223e-01
7.911646586345381316e+00,-5.763299931821366795e-02,-9.983378373023766850e-01
7.951807228915662940e+00,-9.766964025321588083e-02,-9.952188911856564291e-01
7.991967871485943675e+00,-1.375487732229732918e-01,-9.904949949317538582e-01
8.032128514056225299e+00,-1.772060867272766405e-01,-9.841737665812907432e-01
8.072289156626505147e+00,-2.165776269853894875e-01,-9.762654001291746209e-01
8.112449799196786770e+00,-2.555999010717911468e-01,-9.667826490851449961e-01
8.152610441767068394e+00,-2.942099793086945247e-01,-9.557408059066943018e-01
8.192771084337350018e+00,-3.323455967502553232e-01,-9.431576773375259792e-01
8.232931726907629866e+00,-3.699452535947836407e-01,-9.290535556913235293e-01
8.273092369477911490e+00,-4.069483143630478472e-01,-9.134511861271372712e-01
8.313253012048193114e+00,-4.432951056827035829e-01,-8.963757299691690328e-01
8.353413654618474737e+00,-4.789270125211874674e-01,-8.778547241300979076e-01
8.393574297188754585e+00,-5.137865727118580139e-01,-8.579180367033919508e-01
8.433734939759036209e+00,-5.478175696209649503e-01,-8.365978187962117563e-01
8.473895582329317833e+00,-5.809651228059816708e-01,-8.139284526805968811e-01
8.514056224899597680e+00,-6.131757765191282461e-01,-7.899464963465336886e-01
8.554216867469879304e+00,-6.443975859133457273e-01,-7.646906245463274132e-01
8.594377510040160928e+00,-6.745802008116874582e-01,-7.382015664253656073e-01
